Mesh,Avg_MAE,Avg_MSE
branch,0.000670053653299358,6.020993848272349e-07
cylinder,0.001383770823078689,2.5267211237495335e-06
explosive,0.00026914705295965176,9.683730926080343e-08
fence,0.0003128668639531525,1.3266623240564556e-07
girl,0.00026168768163332463,9.18668330237959e-08
person,0.0005830523536897651,4.540834946420788e-07
table,0.0003045377289651812,1.243398793590088e-07
talwar,0.0003505467775600457,1.6388242900967699e-07
